Name,Symbol,Date, High , Low , Open , Close ,Volume, Marketcap 
Bitcoin,BTC,2017-11-18,7884.99,7463.44 ,7697.21,7790.15 ,3667190016,129997000000.00 
Bitcoin,BTC,2017-11-19,8101.91,7694.10 ,7766.03,8036.49 ,3149319936,134124000000.00 
Bitcoin,BTC,2017-11-20,8336.86,7949.36 ,8039.07,8200.64 ,3488450048,136882000000.00 
Bitcoin,BTC,2017-11-21,8348.66,7762.71 ,8205.74,8071.26 ,4277609984,134740000000.00 
Bitcoin,BTC,2017-11-22,8302.26,8075.47 ,8077.95,8253.55 ,3633530112,137798000000.00 
Bitcoin,BTC,2017-11-23,8267.40,8038.77 ,8232.38,8038.77 ,4225179904,134228000000.00 
Bitcoin,BTC,2017-11-24,8374.16,7940.93 ,8074.02,8253.69 ,5058610176,137832000000.00 
Bitcoin,BTC,2017-11-25,8790.92,8191.15 ,8241.71,8790.92 ,4342060032,146821000000.00 
Bitcoin,BTC,2017-11-26,9522.93,8775.59 ,8789.04,9330.55 ,5475579904,155851000000.00 
Bitcoin,BTC,2017-11-27,9818.35,9352.72 ,9352.72,9818.35 ,5653320192,164019000000.00 
Bitcoin,BTC,2017-11-28,10125.70,9736.30 ,9823.43,10058.80 ,6348819968,168056000000.00 
Bitcoin,BTC,2017-11-29,11517.40,9601.03 ,10077.40,9888.61 ,11568799744,165234000000.00 
Bitcoin,BTC,2017-11-30,10801.00,9202.05 ,9906.79,10233.60 ,8310689792,171020000000.00 
Bitcoin,BTC,2017-12-01,11046.70,9694.65 ,10198.60,10975.60 ,6783119872,183445000000.00 
Bitcoin,BTC,2017-12-02,11320.20,10905.10 ,10978.30,11074.60 ,5138500096,185122000000.00 
Bitcoin,BTC,2017-12-03,11858.70,10862.00 ,11082.70,11323.20 ,6608309760,189302000000.00 
Bitcoin,BTC,2017-12-04,11657.20,11081.80 ,11315.40,11657.20 ,6132409856,194913000000.00 
Bitcoin,BTC,2017-12-05,12032.00,11604.60 ,11685.70,11916.70 ,6895260160,199278000000.00 
Bitcoin,BTC,2017-12-06,14369.10,11923.40 ,11923.40,14291.50 ,12656300032,239024000000.00 
Bitcoin,BTC,2017-12-07,17899.70,14057.30 ,14266.10,17899.70 ,17950699520,299405000000.00 
Bitcoin,BTC,2017-12-08,18353.40,14336.90 ,17802.90,16569.40 ,21135998976,277186000000.00 
Bitcoin,BTC,2017-12-09,16783.00,13674.90 ,16523.30,15178.20 ,13911300096,253946000000.00 
Bitcoin,BTC,2017-12-10,15850.60,13226.60 ,15168.40,15455.40 ,13433299968,258615000000.00 
Bitcoin,BTC,2017-12-11,17513.90,15404.80 ,15427.40,16936.80 ,12153900032,283440000000.00 
Bitcoin,BTC,2017-12-12,17781.80,16571.60 ,16919.80,17415.40 ,14603799552,291484000000.00 
Bitcoin,BTC,2017-12-13,17653.10,16039.70 ,17500.00,16408.20 ,12976900096,274664000000.00 
Bitcoin,BTC,2017-12-14,17085.80,16185.90 ,16384.60,16564.00 ,13777399808,277310000000.00 
Bitcoin,BTC,2017-12-15,18154.10,16601.30 ,16601.30,17706.90 ,14309999616,296482000000.00 
Bitcoin,BTC,2017-12-16,19716.70,17515.30 ,17760.30,19497.40 ,12740599808,326502000000.00 
Bitcoin,BTC,2017-12-17,20089.00,18974.10 ,19475.80,19140.80 ,13314599936,320577000000.00 
Bitcoin,BTC,2017-12-18,19371.00,18355.90 ,19106.40,19114.20 ,14839499776,320174000000.00 
